Player,TEAM,POS,DPCHT,G,FG,FG_mean,FGA,FGA_mean,FG_PCT,LG,LG_mean,FG_10_19,FG_10_19_mean,FG_20_29,FG_20_29_mean,FG_30_39,FG_30_39_mean,FG_40_49,FG_40_49_mean,FG_50,FG_50_mean,XP,XP_mean,XPA,XPA_mean,XP_PCT,OPP,OPP_mean,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Nick Folk,TEN,K,1.0,16.88,30.75,1.82,33.35,1.97,0.93,53.03,35.62,0.28,0.02,8.63,0.51,8.85,0.52,8.65,0.51,4.35,0.26,31.94,1.89,34.89,2.06,0.91,134.95,7.99,1.0,141.55,8.39,7.15,4.88,7.07,7.32,2.03,2.42,1.95,3.15,0.45,0.26,7.33,141.55,8.39,7.15,4.88,7.07,7.18,1.78,1.82,2.94,3.15,0.58,0.26,7.45,141.55,8.39,7.15,4.88,7.07,7.6,1.75,2.42,1.95,3.15,0.45,0.26,7.33,5,7.68,130.54,9.0
Ka'imi Fairbairn,HOU,K,1.0,14.06,25.34,1.83,27.54,1.98,0.91,55.85,34.66,0.0,0.0,7.82,0.58,8.12,0.6,4.43,0.29,4.97,0.36,22.32,1.59,23.66,1.69,0.93,106.28,7.63,1.0,112.71,8.08,7.32,4.57,6.92,5.46,2.31,1.2,2.6,2.49,0.6,0.27,7.45,112.71,8.08,7.32,4.57,6.92,5.05,2.32,2.34,1.86,2.49,0.49,0.27,7.35,112.71,8.08,7.32,4.57,6.92,5.18,2.05,1.74,2.6,2.49,0.6,0.27,7.45,5,7.27,123.56,23.0
Jake Elliott,PHI,K,1.0,16.6,25.26,1.51,28.09,1.68,0.89,58.2,32.79,0.0,0.0,6.82,0.41,7.71,0.46,5.65,0.33,5.09,0.3,43.89,2.65,45.11,2.72,0.97,129.38,7.77,1.0,135.51,8.13,7.62,4.73,6.86,7.28,1.82,1.75,3.37,2.38,0.58,0.17,7.43,135.51,8.13,7.62,4.73,6.86,7.15,2.08,2.54,2.45,2.38,0.43,0.17,7.3,135.51,8.13,7.62,4.73,6.86,7.28,1.82,1.75,3.37,2.38,0.58,0.17,7.43,5,7.73,131.35,8.0
Matt Prater,ARI,K,1.0,15.77,25.85,1.64,30.91,1.96,0.84,60.25,36.2,0.0,0.0,5.29,0.32,8.2,0.54,5.2,0.34,7.15,0.45,27.2,1.7,28.63,1.79,0.95,121.35,7.66,1.0,124.25,7.86,7.35,4.97,6.59,6.2,2.65,2.02,1.26,3.65,0.45,0.31,7.27,124.25,7.86,7.35,4.97,6.59,6.2,2.14,2.52,1.26,3.65,0.45,0.31,7.27,124.25,7.86,7.35,4.97,6.59,6.2,3.06,1.6,1.26,3.65,0.45,0.31,7.27,5,7.51,127.7,19.0
Greg Joseph,GB,K,1.0,17.0,26.53,1.56,32.63,1.92,0.81,56.42,33.59,0.47,0.03,8.16,0.48,8.16,0.48,5.11,0.3,4.63,0.28,37.26,2.19,40.95,2.41,0.91,138.84,8.17,1.0,131.21,7.72,7.47,3.74,6.95,7.79,1.37,3.16,2.89,1.79,0.42,0.13,7.24,131.21,7.72,7.47,3.74,6.95,7.16,2.68,2.42,2.63,2.11,0.4,0.16,7.27,131.21,7.72,7.47,3.74,6.95,7.32,2.05,2.95,2.89,1.79,0.42,0.13,7.24,5,7.04,119.71,26.0
Jake Moody,SF,K,1.0,17.0,21.0,1.24,25.0,1.47,0.84,57.0,28.47,0.0,0.0,7.0,0.41,8.0,0.47,4.0,0.24,2.0,0.12,60.0,3.53,61.0,3.59,0.98,136.0,8.0,1.0,131.0,7.71,7.0,3.44,7.07,8.0,2.0,4.0,1.0,2.0,0.21,0.13,6.89,131.0,7.71,7.0,3.44,7.07,7.0,3.0,2.0,3.0,2.0,0.42,0.13,7.11,131.0,7.71,7.0,3.44,7.07,8.0,2.0,4.0,1.0,2.0,0.21,0.13,6.89,1,7.06,120.02,25.0
Wil Lutz,DEN,K,1.0,16.85,26.57,1.57,32.08,1.9,0.82,54.87,30.51,0.0,0.0,8.4,0.5,10.68,0.64,4.45,0.27,3.04,0.18,34.58,2.07,35.75,2.13,0.97,131.98,7.84,1.0,124.81,7.42,7.3,4.4,6.41,6.68,2.87,2.66,2.32,2.32,0.39,0.16,6.95,124.81,7.42,7.3,4.4,6.41,7.7,1.34,3.21,2.28,2.32,0.41,0.16,6.96,124.81,7.42,7.3,4.4,6.41,6.68,2.87,2.81,2.17,2.32,0.37,0.16,6.93,5,6.66,113.3,29.0
Anders Carlson,GB,K,2.0,17.0,27.0,1.59,33.0,1.94,0.82,53.0,38.35,0.0,0.0,6.0,0.35,14.0,0.82,4.0,0.24,3.0,0.18,34.0,2.0,39.0,2.29,0.87,138.0,8.12,1.0,125.0,7.35,7.0,2.42,7.36,7.0,3.0,4.0,3.0,0.0,0.21,0.0,6.84,125.0,7.35,7.0,2.42,7.36,5.0,5.0,3.0,4.0,0.0,0.31,0.0,6.94,125.0,7.35,7.0,2.42,7.36,7.0,3.0,3.0,4.0,0.0,0.31,0.0,6.94,1,7.42,126.22,20.0
Eddy Pineiro,CAR,K,1.0,13.53,23.95,1.74,26.47,1.9,0.91,54.32,40.62,0.0,0.0,3.89,0.31,8.79,0.6,8.05,0.59,3.21,0.24,19.42,1.47,21.68,1.64,0.89,101.11,7.35,0.94,105.74,7.76,7.84,3.05,7.38,5.32,2.11,2.47,2.21,1.42,0.34,0.1,6.94,105.74,7.76,7.84,3.05,7.38,5.95,1.95,2.16,2.05,1.42,0.35,0.1,6.93,105.74,7.76,7.84,3.05,7.38,5.16,2.26,2.79,1.89,1.42,0.29,0.1,6.9,5,6.84,116.29,28.0
Riley Patterson,WAS,K,1.0,13.95,19.79,1.45,22.53,1.64,0.89,51.68,27.12,0.0,0.0,4.11,0.3,9.63,0.71,4.95,0.37,1.11,0.07,34.16,2.44,35.89,2.56,0.96,103.47,7.48,0.97,100.68,7.31,7.95,4.55,6.28,5.05,3.63,1.32,2.42,1.53,0.45,0.16,6.86,100.68,7.31,7.95,4.55,6.28,5.53,1.89,3.05,1.42,2.05,0.4,0.26,6.89,100.68,7.31,7.95,4.55,6.28,5.05,3.63,1.32,2.21,1.74,0.45,0.23,6.92,3,5.57,94.62,34.0
