Player,TEAM,POS,DPCHT,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Cameron Artis-Payne,FA,RB,0.0,7,45,6.43,183,26.14,4.07,6.0,0.86,31,12.43,1,0.14,1,0.14,5,0.71,5,0.71,58,8.29,11.6,4.0,0.57,0,0.0,50,7.14,50,7.14,10.0,1.43,0,0.0,0.0,0.84,30.1,4.3,2.5,4.86,4.68,4,1,1,1,0,0.17,0.0,3.19,32.6,4.66,2.5,5.32,5.02,5,0,1,1,0,0.17,0.0,4.02,35.1,5.01,2.5,5.78,5.45,5,0,1,1,0,0.17,0.0,3.44
Terrance West,FA,RB,0.0,8,62,7.75,231,28.88,3.73,10.0,1.25,17,11.38,0,0.0,0,0.0,4,0.5,5,0.62,21,2.62,5.25,1.0,0.12,0,0.0,66,8.25,67,8.38,11.0,1.38,2,0.25,0.03,0.88,21.2,2.65,2.9,1.84,3.67,8,0,0,0,0,0.0,0.0,3.07,23.2,2.9,3.2,2.04,3.97,8,0,0,0,0,0.0,0.0,3.96,25.2,3.15,3.45,2.29,4.32,8,0,0,0,0,0.0,0.0,3.49
Marcel Reece,FA,RB,0.0,15,10,0.67,36,2.4,3.6,2.0,0.13,12,1.8,0,0.0,0,0.0,30,2.0,37,2.47,269,17.93,8.97,12.0,0.8,3,0.2,40,2.67,47,3.13,14.0,0.93,0,0.0,0.0,1.0,48.5,3.23,1.6,4.29,3.63,12,1,0,2,0,0.15,0.0,2.61,63.5,4.23,2.6,4.92,4.65,13,0,0,2,0,0.15,0.0,3.89,78.5,5.23,3.6,5.62,5.73,13,0,0,1,1,0.15,0.07,4.35
Bishop Sankey,FA,RB,0.0,13,47,3.62,193,14.85,4.11,5.0,0.38,16,5.15,0,0.0,1,0.08,14,1.08,22,1.69,139,10.69,9.93,8.0,0.62,1,0.08,61,4.69,69,5.31,13.0,1.0,1,0.08,0.02,1.0,43.2,3.32,2.0,5.62,3.49,11,1,0,0,1,0.08,0.08,2.96,50.2,3.86,2.5,5.95,4.05,11,1,0,0,1,0.08,0.08,3.88,57.2,4.4,3.0,6.34,4.67,10,2,0,0,1,0.08,0.08,3.83
Brandon Bolden,FA,RB,0.0,15,63,4.2,207,13.8,3.29,9.0,0.6,14,6.07,0,0.0,0,0.0,19,1.27,30,2.0,180,12.0,9.47,8.0,0.53,2,0.13,82,5.47,93,6.2,17.0,1.13,0,0.0,0.0,1.0,50.7,3.38,1.5,4.48,3.75,11,2,1,0,1,0.07,0.07,2.92,60.2,4.01,1.8,5.14,4.36,11,2,1,0,1,0.07,0.07,3.85,69.7,4.65,2.3,5.84,5.04,11,1,2,0,1,0.07,0.07,3.75
Christine Michael,FA,RB,0.0,8,54,6.75,243,30.38,4.5,14.0,1.75,45,11.5,0,0.0,0,0.0,3,0.38,6,0.75,16,2.0,5.33,1.0,0.12,0,0.0,57,7.12,60,7.5,15.0,1.88,0,0.0,0.0,0.88,25.9,3.24,2.0,3.85,3.73,6,0,2,0,0,0.0,0.0,2.69,27.4,3.42,2.25,3.8,4.02,6,1,1,0,0,0.0,0.0,3.82,28.9,3.61,2.5,3.78,4.36,6,1,1,0,0,0.0,0.0,3.09
Ka'Deem Carey,FA,RB,0.0,11,43,3.91,159,14.45,3.7,13.0,1.18,11,4.82,0,0.0,2,0.18,3,0.27,3,0.27,19,1.73,6.33,2.0,0.18,1,0.09,46,4.18,46,4.18,15.0,1.36,1,0.09,0.02,1.0,33.8,3.07,1.8,4.22,3.46,9,0,1,1,0,0.1,0.0,2.66,35.3,3.21,2.8,4.33,3.64,9,1,0,1,0,0.1,0.0,3.81,36.8,3.35,2.8,4.46,3.88,9,1,0,1,0,0.1,0.0,3.23
Benny Cunningham Jr.,FA,RB,0.0,16,37,2.31,140,8.75,3.78,7.0,0.44,40,5.81,0,0.0,0,0.0,26,1.62,36,2.25,250,15.62,9.62,12.0,0.75,0,0.0,63,3.94,73,4.56,19.0,1.19,0,0.0,0.0,1.0,39.0,2.44,1.85,3.16,2.95,14,1,0,1,0,0.07,0.0,2.47,52.0,3.25,2.6,3.67,3.84,14,0,1,1,0,0.07,0.0,3.72,65.0,4.06,3.1,4.23,4.77,14,0,1,1,0,0.07,0.0,3.7
Branden Oliver,FA,RB,0.0,8,31,3.88,108,13.5,3.48,8.0,1.0,15,4.75,0,0.0,0,0.0,13,1.62,15,1.88,112,14.0,8.62,5.0,0.62,0,0.0,44,5.5,46,5.75,13.0,1.62,0,0.0,0.0,0.88,22.0,2.75,2.35,2.85,3.42,6,1,1,0,0,0.0,0.0,2.55,28.5,3.56,2.6,3.94,4.14,6,1,1,0,0,0.0,0.0,3.7,35.0,4.38,2.85,5.04,4.92,6,0,1,1,0,0.14,0.0,3.43
Robert Turbin,FA,RB,0.0,10,50,5.0,199,19.9,3.98,10.0,1.0,22,10.1,2,0.2,1,0.1,7,0.7,10,1.0,23,2.3,3.29,2.0,0.2,0,0.0,57,5.7,60,6.0,12.0,1.2,0,0.0,0.0,0.96,28.2,2.82,2.35,3.21,3.4,9,0,0,1,0,0.11,0.0,2.95,31.7,3.17,2.5,3.2,3.88,9,0,1,0,0,0.0,0.0,3.64,35.2,3.52,2.5,3.25,4.42,9,0,1,0,0,0.0,0.0,3.25
