Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Marcedes Lewis,CHI,TE,1.0,15,39,2.6,85,5.67,460,30.67,11.79,22.0,1.47,62,18.33,1,0.07,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,39,2.6,85,5.67,22.0,1.47,0,0.0,0.0,1.0,46.0,3.07,2.9,2.16,3.62,12,2,1,0,0,0.0,0.0,3.17,65.5,4.37,4.2,2.77,5.01,11,2,2,0,0,0.0,0.0,4.98,85.0,5.67,5.7,3.45,6.35,11,3,0,1,0,0.07,0.0,5.49
Dennis Pitta,FA,TE,0.0,16,40,2.5,56,3.5,405,25.31,10.12,28.0,1.75,39,14.69,0,0.0,3,0.19,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,40,2.5,56,3.5,28.0,1.75,0,0.0,0.0,1.0,58.5,3.66,2.55,3.51,3.82,11,2,1,1,1,0.14,0.07,3.18,78.5,4.91,3.7,4.23,5.06,10,3,2,0,1,0.07,0.07,4.92,98.5,6.16,4.95,5.04,6.28,10,3,2,0,1,0.07,0.07,5.03
Joel Dreessen,FA,TE,0.0,16,28,1.75,39,2.44,353,22.06,12.61,17.0,1.06,56,14.38,0,0.0,6,0.38,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,28,1.75,39,2.44,17.0,1.06,0,0.0,0.0,1.0,71.3,4.46,2.4,4.69,4.33,10,1,3,1,1,0.14,0.07,3.22,85.3,5.33,3.5,5.2,5.22,10,1,4,0,1,0.07,0.07,4.45,99.3,6.21,4.75,5.76,6.12,11,2,2,0,1,0.07,0.07,4.78
Evan Moore,FA,TE,0.0,15,34,2.27,47,3.13,324,21.6,9.53,19.0,1.27,33,12.33,0,0.0,4,0.27,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,34,2.27,47,3.13,19.0,1.27,0,0.0,0.0,1.0,56.4,3.76,1.9,3.52,3.92,10,1,1,3,0,0.25,0.0,2.96,73.4,4.89,3.1,3.99,5.12,10,2,1,2,0,0.15,0.0,4.44,90.4,6.03,4.6,4.54,6.31,10,2,2,1,0,0.07,0.0,4.78
Lance Kendricks,FA,TE,0.0,15,28,1.87,59,3.93,352,23.47,12.57,15.0,1.0,45,14.87,0,0.0,0,0.0,1,0.07,-8,-0.53,-8.0,-0.0,-0.0,0,0.0,29,1.93,60,4.0,15.0,1.0,1,0.07,0.03,1.0,32.4,2.16,1.8,1.95,2.61,13,1,1,0,0,0.0,0.0,2.17,46.4,3.09,3.1,2.47,3.65,13,1,1,0,0,0.0,0.0,3.6,60.4,4.03,3.6,3.04,4.66,13,1,1,0,0,0.0,0.0,3.7
Kyle Rudolph,FA,TE,0.0,15,26,1.73,39,2.6,249,16.6,9.58,14.0,0.93,41,12.33,0,0.0,3,0.2,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,26,1.73,39,2.6,14.0,0.93,0,0.0,0.0,1.0,42.9,2.86,1.5,2.86,3.14,12,0,3,0,0,0.0,0.0,2.12,55.9,3.73,3.0,3.18,4.13,12,0,3,0,0,0.0,0.0,3.58,68.9,4.59,4.0,3.57,5.11,12,2,1,0,0,0.0,0.0,3.9
Jeff King,FA,TE,0.0,16,27,1.69,34,2.12,271,16.94,10.04,13.0,0.81,48,11.12,0,0.0,3,0.19,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,27,1.69,34,2.12,13.0,0.81,0,0.0,0.0,1.0,45.1,2.82,1.65,3.57,2.93,13,1,0,1,1,0.14,0.07,2.33,58.6,3.66,2.8,3.86,3.86,13,1,1,1,0,0.07,0.0,3.38,72.1,4.51,3.55,4.27,4.79,13,1,1,1,0,0.07,0.0,3.64
Charles Clay,FA,TE,0.0,14,16,1.14,25,1.79,233,16.64,14.56,12.0,0.86,46,12.86,0,0.0,3,0.21,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,16,1.14,25,1.79,12.0,0.86,0,0.0,0.0,1.0,41.3,2.95,2.25,3.68,3.05,10,3,0,0,1,0.08,0.08,2.51,49.3,3.52,2.75,4.17,3.64,10,3,0,0,1,0.08,0.08,3.38,57.3,4.09,3.25,4.69,4.25,13,0,0,1,0,0.08,0.0,3.29
Kellen Davis,FA,TE,0.0,16,18,1.12,35,2.19,206,12.88,11.44,13.0,0.81,32,9.62,0,0.0,5,0.31,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,18,1.12,35,2.19,13.0,0.81,0,0.0,0.0,1.0,50.6,3.16,1.65,3.7,3.26,11,1,3,1,0,0.07,0.0,2.28,59.6,3.72,2.4,4.12,3.87,11,1,4,0,0,0.0,0.0,3.13,68.6,4.29,3.15,4.56,4.48,12,0,4,0,0,0.0,0.0,3.27
Randy McMichael,FA,TE,0.0,15,30,2.0,44,2.93,271,18.07,9.03,12.0,0.8,30,11.73,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,30,2.0,44,2.93,12.0,0.8,0,0.0,0.0,1.0,27.1,1.81,1.7,1.51,2.33,14,1,0,0,0,0.0,0.0,1.91,42.1,2.81,2.3,2.07,3.46,14,1,0,0,0,0.0,0.0,3.0,57.1,3.81,3.3,2.66,4.56,14,1,0,0,0,0.0,0.0,3.44
