Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
James Jones,FA,WR,0.0,16,50,3.12,99,6.19,890,55.62,17.8,39.0,2.44,65,27.12,8,0.5,8,0.5,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,50,3.12,99,6.19,39.0,2.44,0,0.0,0.0,1.0,141.0,8.81,8.95,6.62,8.74,7,2,2,2,3,0.45,0.23,8.53,166.0,10.38,9.7,7.54,10.25,7,2,2,2,3,0.45,0.23,10.66,191.0,11.94,11.3,8.51,11.78,8,1,3,2,2,0.33,0.14,10.46
Willie Snead IV,MIA,WR,2.0,15,69,4.6,101,6.73,984,65.6,14.26,44.0,2.93,63,27.47,9,0.6,3,0.2,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,69,4.6,101,6.73,44.0,2.93,1,0.07,0.01,1.0,114.4,7.63,7.5,4.8,8.19,7,4,1,2,1,0.25,0.07,7.37,148.9,9.93,9.5,5.61,10.56,7,2,3,2,1,0.25,0.07,10.59,183.4,12.23,11.5,6.54,12.88,7,2,2,3,1,0.36,0.07,10.97
Travis Benjamin,FA,WR,0.0,16,68,4.25,125,7.81,966,60.38,14.21,39.0,2.44,61,27.19,6,0.38,5,0.31,4,0.25,12,0.75,3.0,1.0,0.06,0,0.0,72,4.5,129,8.06,40.0,2.5,2,0.12,0.03,1.0,123.8,7.74,6.6,6.35,7.75,8,3,1,2,2,0.33,0.14,7.15,157.8,9.86,9.15,6.84,9.98,8,3,0,3,2,0.45,0.14,10.44,191.8,11.99,11.4,7.45,12.23,8,1,2,4,1,0.45,0.07,10.89
Tavon Austin,FA,WR,0.0,16,52,3.25,87,5.44,473,29.56,9.1,21.0,1.31,66,17.19,3,0.19,5,0.31,52,3.25,434,27.12,8.35,23.0,1.44,4,0.25,104,6.5,139,8.69,44.0,2.75,2,0.12,0.02,1.0,140.7,8.79,6.3,7.27,8.52,9,3,0,1,3,0.33,0.23,7.51,166.7,10.42,8.45,7.77,10.22,10,2,0,1,3,0.33,0.23,10.42,192.7,12.04,9.95,8.33,11.94,10,2,0,1,3,0.33,0.23,10.34
Anquan Boldin,FA,WR,0.0,14,69,4.93,111,7.93,789,56.36,11.43,35.0,2.5,51,22.0,7,0.5,4,0.29,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,69,4.93,111,7.93,35.0,2.5,1,0.07,0.01,1.0,100.9,7.21,6.6,5.06,7.64,7,0,4,2,1,0.27,0.08,6.94,135.4,9.67,9.0,5.9,10.16,7,0,3,3,1,0.4,0.08,10.3,169.9,12.14,11.5,6.79,12.67,7,0,2,4,1,0.56,0.08,11.2
Pierre Garcon,FA,WR,0.0,16,72,4.5,111,6.94,777,48.56,10.79,43.0,2.69,39,19.69,5,0.31,6,0.38,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,72,4.5,111,6.94,43.0,2.69,0,0.0,0.0,1.0,113.7,7.11,6.7,3.29,8.39,8,4,2,2,0,0.14,0.0,6.92,149.7,9.36,8.95,3.82,10.96,9,4,1,2,0,0.14,0.0,10.19,185.7,11.61,11.2,4.42,13.49,8,4,2,2,0,0.14,0.0,10.76
Michael Floyd,FA,WR,0.0,15,52,3.47,89,5.93,849,56.6,16.33,40.0,2.67,60,26.13,7,0.47,6,0.4,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,52,3.47,89,5.93,40.0,2.67,0,0.0,0.0,1.0,120.9,8.06,7.0,7.05,7.86,7,1,3,1,3,0.36,0.25,7.31,146.9,9.79,9.5,8.06,9.51,7,1,3,3,1,0.36,0.07,10.08,172.9,11.53,12.0,9.13,11.17,7,1,2,4,1,0.5,0.07,10.55
Rueben Randle,FA,WR,0.0,16,57,3.56,90,5.62,797,49.81,13.98,35.0,2.19,72,27.75,6,0.38,8,0.5,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,57,3.56,90,5.62,35.0,2.19,0,0.0,0.0,1.0,127.7,7.98,7.95,4.89,8.53,8,0,4,3,1,0.33,0.07,7.66,156.2,9.76,9.05,5.3,10.53,8,2,2,3,1,0.33,0.07,10.0,184.7,11.54,10.55,5.81,12.53,9,1,3,2,1,0.23,0.07,10.19
Randall Cobb,FA,WR,0.0,16,79,4.94,129,8.06,829,51.81,10.49,42.0,2.62,53,21.0,9,0.56,6,0.38,13,0.81,50,3.12,3.85,3.0,0.19,0,0.0,92,5.75,142,8.88,45.0,2.81,0,0.0,0.0,1.0,123.9,7.74,5.4,6.68,7.66,9,3,1,1,2,0.23,0.14,6.6,163.4,10.21,7.9,7.12,10.23,9,2,2,2,1,0.23,0.07,9.94,202.9,12.68,10.2,7.65,12.85,10,1,1,3,1,0.33,0.07,10.61
Donte Moncrief,FA,WR,0.0,16,64,4.0,105,6.56,733,45.81,11.45,40.0,2.5,33,17.31,5,0.31,6,0.38,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,64,4.0,105,6.56,40.0,2.5,0,0.0,0.0,1.0,109.3,6.83,6.35,5.26,7.17,8,1,5,1,1,0.14,0.07,6.35,141.3,8.83,8.6,6.25,9.14,8,2,3,2,1,0.23,0.07,9.4,173.3,10.83,11.15,7.28,11.11,8,3,2,2,1,0.23,0.07,9.95
